IP地址,端口,TLS,数据中心,地区,城市,网络延迟
43.199.231.225,9009,TRUE,HKG,Asia Pacific,Hong Kong,108 ms
16.163.147.103,5986,TRUE,HKG,Asia Pacific,Hong Kong,108 ms
54.46.72.234,8007,TRUE,HKG,Asia Pacific,Hong Kong,127 ms
182.92.117.228,6443,TRUE,HKG,Asia Pacific,Hong Kong,17 ms
103.6.235.48,20174,TRUE,HKG,Asia Pacific,Hong Kong,241 ms
47.109.82.112,4431,TRUE,HKG,Asia Pacific,Hong Kong,25 ms
8.138.29.33,50001,TRUE,HKG,Asia Pacific,Hong Kong,29 ms
14.215.25.250,18080,TRUE,HKG,Asia Pacific,Hong Kong,35 ms
106.53.123.237,33334,TRUE,HKG,Asia Pacific,Hong Kong,35 ms
45.121.138.23,26688,TRUE,HKG,Asia Pacific,Hong Kong,46 ms
157.254.32.120,10122,TRUE,HKG,Asia Pacific,Hong Kong,50 ms
157.254.32.97,40003,TRUE,HKG,Asia Pacific,Hong Kong,54 ms
157.254.32.139,19800,TRUE,HKG,Asia Pacific,Hong Kong,54 ms
43.161.227.251,60006,TRUE,HKG,Asia Pacific,Hong Kong,55 ms
183.251.223.39,1234,TRUE,HKG,Asia Pacific,Hong Kong,56 ms
103.30.78.25,19666,TRUE,HKG,Asia Pacific,Hong Kong,56 ms
47.57.190.228,8388,TRUE,HKG,Asia Pacific,Hong Kong,57 ms
46.3.108.54,2832,TRUE,HKG,Asia Pacific,Hong Kong,61 ms
46.3.104.246,10099,TRUE,HKG,Asia Pacific,Hong Kong,62 ms
5.253.16.162,4430,TRUE,HKG,Asia Pacific,Hong Kong,62 ms
46.3.104.144,7443,TRUE,HKG,Asia Pacific,Hong Kong,64 ms
103.27.79.92,49501,TRUE,HKG,Asia Pacific,Hong Kong,66 ms
103.30.76.212,666,TRUE,HKG,Asia Pacific,Hong Kong,68 ms
23.141.12.71,8448,TRUE,HKG,Asia Pacific,Hong Kong,82 ms
194.29.187.90,843,TRUE,HKG,Asia Pacific,Hong Kong,85 ms
111.39.139.135,3001,TRUE,HKG,Asia Pacific,Hong Kong,90 ms
51.195.199.65,700,TRUE,LHR,Europe,London,168 ms
198.1.242.72,13324,TRUE,LHR,Europe,London,172 ms
198.1.242.194,20201,TRUE,LHR,Europe,London,181 ms
143.20.231.134,20185,TRUE,LHR,Europe,London,184 ms
198.1.242.207,20037,TRUE,LHR,Europe,London,184 ms
198.1.242.91,12036,TRUE,LHR,Europe,London,185 ms
198.1.242.209,11371,TRUE,LHR,Europe,London,185 ms
143.20.231.218,14330,TRUE,LHR,Europe,London,186 ms
198.1.242.91,14891,TRUE,LHR,Europe,London,186 ms
198.1.242.194,20176,TRUE,LHR,Europe,London,188 ms
143.20.231.156,20049,TRUE,LHR,Europe,London,188 ms
198.1.242.74,11581,TRUE,LHR,Europe,London,188 ms
198.1.242.194,14891,TRUE,LHR,Europe,London,189 ms
198.1.242.202,20041,TRUE,LHR,Europe,London,190 ms
198.1.242.202,20193,TRUE,LHR,Europe,London,190 ms
198.1.242.222,20041,TRUE,LHR,Europe,London,190 ms
