IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
152.42.249.205,2095,TRUE,SIN,Asia Pacific,Singapore,82 ms,35026 kB/s
140.245.53.210,8800,TRUE,SIN,Asia Pacific,Singapore,65 ms,33656 kB/s
206.237.6.63,10001,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,31924 kB/s
206.206.105.7,20053,TRUE,HKG,Asia Pacific,Hong Kong,31 ms,30854 kB/s
46.232.107.75,51200,TRUE,HKG,Asia Pacific,Hong Kong,33 ms,26917 kB/s
23.95.213.182,11123,TRUE,SJC,North America,San Jose,184 ms,25435 kB/s
192.3.86.244,993,TRUE,LAX,North America,Los Angeles,182 ms,24602 kB/s
142.171.30.213,993,TRUE,LAX,North America,Los Angeles,173 ms,22342 kB/s
206.206.105.7,20003,TRUE,HKG,Asia Pacific,Hong Kong,37 ms,20063 kB/s
209.141.35.26,5600,TRUE,LAS,North America,Las Vegas,190 ms,19448 kB/s
23.95.254.12,4433,TRUE,SEA,North America,Seattle,202 ms,18937 kB/s
154.17.229.123,10021,TRUE,LAX,North America,Los Angeles,173 ms,18522 kB/s
154.17.29.62,444,TRUE,LAX,North America,Los Angeles,175 ms,18314 kB/s
47.79.84.221,8000,TRUE,SEA,North America,Seattle,88 ms,18195 kB/s
47.79.85.33,45678,TRUE,NRT,Asia Pacific,Tokyo,87 ms,17779 kB/s
154.17.229.123,10018,TRUE,LAX,North America,Los Angeles,173 ms,17758 kB/s
89.208.249.11,49899,TRUE,LAX,North America,Los Angeles,168 ms,17744 kB/s
38.76.141.67,2333,TRUE,SIN,Asia Pacific,Singapore,34 ms,17337 kB/s
107.172.218.156,9443,TRUE,SJC,North America,San Jose,186 ms,16775 kB/s
47.79.90.82,8843,TRUE,NRT,Asia Pacific,Tokyo,82 ms,16069 kB/s
104.207.159.165,8088,TRUE,SEA,North America,Seattle,187 ms,15474 kB/s
54.193.53.75,10001,TRUE,SJC,North America,San Jose,222 ms,14849 kB/s
74.113.96.202,40003,TRUE,NRT,Asia Pacific,Tokyo,78 ms,14782 kB/s
46.232.111.35,3443,TRUE,SIN,Asia Pacific,Singapore,27 ms,14607 kB/s
154.36.183.19,2321,TRUE,NRT,Asia Pacific,Tokyo,78 ms,14447 kB/s
45.12.111.15,50050,TRUE,ZRH,Europe,Zurich,290 ms,13903 kB/s
104.194.66.83,60010,TRUE,LAX,North America,Los Angeles,176 ms,13619 kB/s
144.34.235.131,41181,TRUE,LAX,North America,Los Angeles,174 ms,13474 kB/s
107.172.87.154,4433,TRUE,SJC,North America,San Jose,186 ms,13309 kB/s
104.224.159.50,60000,TRUE,LAX,North America,Los Angeles,176 ms,12853 kB/s
38.75.136.238,6443,TRUE,LAX,North America,Los Angeles,173 ms,12227 kB/s
45.12.142.144,50050,TRUE,AMS,Europe,Amsterdam,292 ms,12144 kB/s
142.171.52.104,9933,TRUE,LAX,North America,Los Angeles,172 ms,11750 kB/s
104.167.199.72,20202,TRUE,MIA,North America,Miami,229 ms,11688 kB/s
142.171.220.62,16101,TRUE,LAX,North America,Los Angeles,178 ms,11478 kB/s
142.171.220.62,16511,TRUE,LAX,North America,Los Angeles,181 ms,11365 kB/s
142.171.220.62,16669,TRUE,LAX,North America,Los Angeles,182 ms,11173 kB/s
142.171.192.140,10001,TRUE,LAX,North America,Los Angeles,175 ms,11172 kB/s
142.171.220.62,16664,TRUE,LAX,North America,Los Angeles,182 ms,11042 kB/s
142.171.168.143,30001,TRUE,LAX,North America,Los Angeles,174 ms,11021 kB/s
142.171.220.62,16018,TRUE,LAX,North America,Los Angeles,174 ms,10995 kB/s
142.171.220.62,16016,TRUE,LAX,North America,Los Angeles,174 ms,10988 kB/s
173.242.114.187,19800,TRUE,LAX,North America,Los Angeles,173 ms,10983 kB/s
142.171.220.62,16666,TRUE,LAX,North America,Los Angeles,181 ms,10941 kB/s
154.26.190.103,23456,TRUE,LAX,North America,Los Angeles,176 ms,10926 kB/s
38.76.141.68,2333,TRUE,SIN,Asia Pacific,Singapore,32 ms,10925 kB/s
142.171.220.62,17000,TRUE,LAX,North America,Los Angeles,172 ms,10886 kB/s
173.242.121.61,54321,TRUE,LAX,North America,Los Angeles,175 ms,10885 kB/s
142.171.220.62,16660,TRUE,LAX,North America,Los Angeles,177 ms,10841 kB/s
142.171.220.62,16616,TRUE,LAX,North America,Los Angeles,174 ms,10833 kB/s
142.171.220.62,16606,TRUE,LAX,North America,Los Angeles,174 ms,10825 kB/s
142.171.220.62,16466,TRUE,LAX,North America,Los Angeles,177 ms,10821 kB/s
142.171.220.62,16662,TRUE,LAX,North America,Los Angeles,176 ms,10819 kB/s
23.95.222.211,50443,TRUE,SJC,North America,San Jose,184 ms,10804 kB/s
107.175.214.251,8000,TRUE,SJC,North America,San Jose,179 ms,10740 kB/s
143.20.106.87,25212,TRUE,LAX,North America,Los Angeles,208 ms,10706 kB/s
142.171.129.125,2202,TRUE,LAX,North America,Los Angeles,172 ms,10697 kB/s
154.21.93.124,10089,TRUE,LAX,North America,Los Angeles,174 ms,10680 kB/s
199.19.104.63,666,TRUE,LAX,North America,Los Angeles,170 ms,10636 kB/s
142.171.129.125,2100,TRUE,LAX,North America,Los Angeles,173 ms,10625 kB/s
68.167.5.15,25212,TRUE,LAX,North America,Los Angeles,208 ms,10620 kB/s
142.171.220.62,16626,TRUE,LAX,North America,Los Angeles,174 ms,10598 kB/s
138.128.193.136,41820,TRUE,LAX,North America,Los Angeles,183 ms,10590 kB/s
142.171.220.62,16566,TRUE,LAX,North America,Los Angeles,181 ms,10527 kB/s
143.20.106.25,25212,TRUE,LAX,North America,Los Angeles,179 ms,10492 kB/s
142.171.220.62,16696,TRUE,LAX,North America,Los Angeles,175 ms,10488 kB/s
104.224.157.64,49200,TRUE,LAX,North America,Los Angeles,173 ms,10486 kB/s
148.135.73.80,8889,TRUE,LAX,North America,Los Angeles,188 ms,10465 kB/s
66.92.166.215,25212,TRUE,LAX,North America,Los Angeles,210 ms,10462 kB/s
128.241.251.81,40000,TRUE,SJC,North America,San Jose,175 ms,10457 kB/s
107.172.100.43,26001,TRUE,SJC,North America,San Jose,188 ms,10453 kB/s
143.20.106.63,25212,TRUE,LAX,North America,Los Angeles,202 ms,10450 kB/s
68.167.5.51,25212,TRUE,LAX,North America,Los Angeles,210 ms,10443 kB/s
154.17.24.16,27010,TRUE,LAX,North America,Los Angeles,175 ms,10412 kB/s
68.167.5.50,25212,TRUE,LAX,North America,Los Angeles,197 ms,10410 kB/s
